Region;count_2017
Belgorod;478
Bryansk;348
Vladimir;464
Voronezh;428
Ivanovo;377
Kaluga;231
Kostroma;238
Kostroma;266
Lipetsk;328
Moskva;2050
Orel;196
Ryazan';320
Smolensk;261
Tambov;174
Tver';447
Tula;229
Yaroslavl';416
Moscow City;72
Karelia;183
Komi;361
Arkhangel'sk;198
Nenets;25
Vologda;378
Kaliningrad;219
Leningrad;393
Murmansk;237
Novgorod;192
Pskov;107
City of St. Petersburg;1075
Adygey;127
Kalmyk;110
Krasnodar;1481
Astrakhan';146
Volgograd;546
Rostov;1278
Dagestan;753
Ingush;63
Kabardin-Balkar;24
Karachay-Cherkess;129
North Ossetia;203
Chechnya;421
Stavropol';834
Bashkortostan;1091
Mariy-El;225
Mordovia;202
Tatarstan;1765
Udmurt;605
Chuvash;343
Perm';639
Kirov;449
Nizhegorod;1187
Orenburg;676
Penza;180
Samara;337
Saratov;836
Ul'yanovsk;289
Kurgan;291
Sverdlovsk;1226
Tyumen';607
Khanty-Mansiy;329
Yamal-Nenets;172
Chelyabinsk;1295
Altay;44
Buryat;379
Tuva;202
Khakass;173
Gorno-Altay;437
Zabaykal'ye;463
Krasnoyarsk;973
Irkutsk;876
Kemerovo;908
Novosibirsk;640
Omsk;484
Tomsk;205
Sakha;605
Kamchatka;115
Primor'ye;520
Khabarovsk;387
Amur;125
Maga Buryatdan;49
Sakhalin;166
Yevrey;62
Chukot;15
;
;
;
;
;
;
