"Rank","Runtime","Genre","Rating","Metascore","Votes","Gross_Earning_in_Mil"
1,121,"Action",8.1,76,931818,333.18
2,169,"Adventure",8.6,74,1281976,188.02
3,136,"Action",7.8,70,653339,259.77
4,101,"Action",7.3,68,427312,43.04
5,149,"Drama",8.1,79,754966,167.77
6,86,"Comedy",7.7,76,123509,3.33
7,129,"Action",7.7,60,539601,128.26
8,134,"Action",7.6,64,379318,85.82
9,106,"Drama",8.5,88,607867,13.09
10,139,"Action",6.7,48,397705,150.95
11,99,"Adventure",8.1,88,628694,59.1
12,132,"Action",8,75,614349,233.92
13,108,"Drama",7.7,78,420309,25.44
14,102,"Comedy",7.2,44,103647,0.01
15,105,"Action",5.5,39,99806,23.22
16,119,"Comedy",7.7,87,514907,42.34
17,89,"Action",6.4,61,400406,126.66
18,132,"Action",7.2,57,299589,101.53
19,113,"Action",7.9,71,542250,100.21
20,92,"Action",6.3,40,163885,56.28
21,102,"Animation",7.8,76,274969,177
22,133,"Action",7.3,72,399388,350.13
23,123,"Action",6.4,62,344774,200.68
24,97,"Drama",6.5,47,104510,45.09
25,114,"Biography",8,73,615024,91.13
26,142,"Action",6.6,53,385164,202.85
27,97,"Action",7,56,302962,241.41
28,123,"Action",6.6,64,376316,337.14
29,144,"Adventure",7.4,59,435602,255.12
30,126,"Action",6.1,35,155324,39.32
31,109,"Comedy",6,39,122241,83.91
32,102,"Action",5.5,30,66247,17.22
33,150,"Action",6,52,150283,65.01
34,138,"Action",5.8,68,228335,101.2
35,123,"Biography",7.7,72,358297,35.89
36,148,"Comedy",6.7,81,82697,8.11
37,100,"Animation",7.8,83,301957,257.76
38,100,"Horror",6.9,83,180764,14.67
39,126,"Drama",7.7,69,312755,124.87
40,117,"Crime",7.9,76,400872,32.38
41,165,"Drama            ",7.9,100,314299,25.38
42,102,"Animation",7.8,74,367447,222.53
43,99,"Horror",5.4,37,120442,84.27
44,97,"Drama",7.5,69,223555,0.07
45,113,"Action",6.8,57,384614,102.43
46,165,"Action",5.7,32,281982,245.44
47,102,"Comedy",5.3,55,40516,1.82
48,102,"Action",6.2,48,261368,106.58
49,125,"Adventure",6,69,122910,128
50,102,"Crime",6.5,46,139792,13.76
51,98,"Action",6,47,136726,72.69
52,114,"Adventure",7.3,68,172001,30.64
53,141,"Crime",7.4,48,161642,47.12
54,94,"Drama",6.8,86,169563,0.92
55,117,"Comedy",6.5,31,105730,46.29
56,137,"Biography",7.2,59,129256,115.64
57,112,"Action",7,71,317316,191.72
58,116,"Comedy",6.1,44,159729,43.14
59,101,"Action",5.8,31,191607,191.2
60,122,"Comedy",8.1,77,149392,3.11
61,107,"Drama",6.8,46,106867,50.47
62,98,"Adventure",6.2,47,92108,113.75
63,122,"Crime",6.8,73,67629,17.24
64,112,"Comedy            ",6.5,52,284924,6.11
65,107,"Crime",6.8,62,46508,3.32
66,97,"Comedy            ",6.3,68,264422,150.16
67,117,"Action",6.2,52,204925,58.61
68,95,"Adventure",7.2,77,83690,76.27
69,130,"Action",7.6,79,387864,208.55
70,93,"Adventure",6.2,38,66292,21.2
71,115,"Adventure",7.1,76,109532,37.88
72,104,"Action",5.5,31,49107,7.79
73,105,"Action",6.2,57,114347,50.58
74,94,"Comedy",5.1,36,99943,38.54
75,104,"Comedy",6.4,30,121225,82.39
76,112,"Drama",6.5,51,17975,0.55
77,106,"Action",7,56,233607,92.17
78,129,"Biography",7.3,76,23340,1.82
79,95,"Drama",5.8,42,15524,0.04
80,87,"Horror",5.7,65,22760,0.01
81,118,"Drama",6.7,29,59239,26.76
82,106,"Drama",7.4,57,103970,0.33
83,108,"Comedy",6.3,40,143418,54.45
84,108,"Action",6,26,163972,89.26
85,107,"Drama",6,54,19574,NA
86,100,"Drama            ",6.1,NA,10633,NA
87,153,"Comedy",8.2,NA,136217,10.62
88,92,"Drama",6.3,41,64252,2.96
89,134,"Biography",7,81,125482,12.1
90,110,"Action",3.1,12,33192,14
91,103,"Comedy",6.6,44,64895,34.29
92,106,"Biography",7,62,76845,14.48
93,138,"Biography",5.8,37,17510,59.7
94,119,"Action",6.3,42,203629,23.02
95,94,"Comedy",6.2,36,91637,26.05
96,83,"Drama",5.6,59,61517,32.48
97,122,"Comedy",7.3,55,69015,54.24
98,118,"Comedy",5.3,33,31044,85.91
99,112,"Crime",5.9,36,26751,NA
100,93,"Action",4.6,19,15951,NA
